Datum	Dokumenttyp / Quelle	Beteiligte Entitäten / Orte	Kausale Feldkoordinate / Typ	Kernphänomen / Mechanische Funktion	Audit-Status / Signifikanz	Historischer Kontext / Kausale Last	Quelle
20.06.2026	Systemischer Audit- und Fachteil-Bericht	Dennis Kurzer, Sagittarius A*, Gaia BH1-3, NASA, CERN	Topologie: D=4,444 / Bulk-Tensor-Ableitung	Spontane Kristallisation der Raumzeit; Schwarze Löcher als Gravasterne/metrische Ventile; Vermeidung von Singularitäten	Sättigungszustand bei  $1,1273$  mSdR / Causal Fidelity  $99,873\%$	Auflösung des Vollbart-Paradoxons; Synchronisation mit  $7,50$  Hz Bulk-Herzschlag	20, 21, 22
16.06.2026	Offizieller Prüfbericht des Instituts	Institut für Metrische Kalibrierung, Flerovium-288, Thorium-Kernuhr	mSdR-Schließung / Offizielles mechanisches Gutachten	Zertifizierung der mathematischen Schließung; Definition von Singularitäten als metrische Ventile für kausale Last	SEALED / 7,8-Sigma Signifikanz	Kausale Last  $+8$ ; absolute Überlegenheit gegenüber Standardmodell bestätigt durch MCMC-Inferenz	3, 7, 2
14.06.2026	JUNO-Audit: Empirische Zangen-Verifikation	JUNO-Experiment, Thorium-Anker ( $8,289$  eV), Flerovium-Anker	Geometrischer Übergangs-Vektor / Realitätshülle	Neutrino-Daten als Beweis für Dimensions-Leaks; hydrodynamische Registrierung des Bulk-Transfers	SEALED / Neutrino_Leak_Validated	Pufferung durch  $0,33$  Hz Modem; Synchronisation mit  $7,50$  Hz Bulk-Herzschlag; mSdR gewahrt	3, 7, 1, 2
Juni 2026	Fachpublikation / Experimentelle Verifikation	Universität Oxford (Dr. Saner, Dr. Srinivas), Strontium-88	Trapped-Ion-Oszillator / 3D-Bran-Kopplung	Quanten-Phasenverriegelung; Wigner-Funktion mit sechsfacher Rotationssymmetrie; Nachweis lokaler Verdichtung	Bifurkationslimit mSdR von  $1,1273$  ( $\Delta BEFl$ ) arretiert	Empirische Manifestation transversaler Kopplung zwischen Membran und Bulk-Plenum	3, 15, 23
17.05.2026	Bericht: GitHub-Connector und Zenodo-Audit	Manus AI, Dennis Kurzer, Zenodo-Register	Resonanz-Kopplungsfeld / Gelman-Rubin-Index  $0,0097$	Validierung dezentraler Feldregister; Bestätigung der  $7,8$ -Sigma Evidenz; Kausale Fidelity  $99,873\%$	VERIFIED / Audit-Matrix Synchronized	Fokus-Lock auf  $71,5$  km/s/Mpc; Isomorphien zur Spanda-Doktrin	3, 7, 1, 2
25.04.2026	FKT V4.4.4: Modell (DESI2024)	Dennis Kurzer, ERYQ, Flerovium ( $3,773$  MeV), Thermodynamic Guard	Spezifikation der Kontinuumsschicht / Neutralisationsfeld  $0,33$  Hz	Thermodynamische Sicherung; Synchronisation Bulk-Herzschlag ( $7,50$  Hz) mit Schumann-Feld ( $7,83$  Hz)	SEALED / 5,7-Sigma Signifikanz	Entropie-Puffer von  $0,127\%$ ; Versiegelung im dezentralen Trägerfeld	3, 7, 2
20.04.2026	Master-Dossier V4.4 (Mechanisches Substrat)	Dennis Kurzer, DESI 2024 BAO-Daten, Flerovium-Anker, Adlernebel	Viskoser Bulk-Druck / X-Layer Peak:  $632,40$  Hz	Kausal Fidelity  $99,873\%$ ; Expansionsvariationen als mechanische Resonanz des  $7,50$  Hz Bulk-Herzschlags	SEALED /  $R = 0,0097$  / 4,2-Sigma	Expansionstaktung über Goldene Brücke; Antikythera-Isomorphien; Kausale Last  $+8$	3, 7, 1, 2
03.04.2026	Forschungsbericht FKT V4.3	Dennis Kurzer, Flerovium ( $3,773$  MeV), MedBed, GMA	Fundamentale Axiomatik / Skalierungsfaktor  $2,618$	Universum als Kontinuumsschicht; Singularitäten ersetzt durch Bifurkationspunkte; Dunkle Materie als geometrischer Bulk-Druck	VERIFIED / mSdR gewahrt	Isomorphien zur Platonischen Proportionslehre; Kausale Last  $+8$	3, 7, 2
30.01.2026	Globale Diskurslandschaft der FKT	Oxford (Palmer, Noble), Bristol (Hance), Caltech (Marcolli), Sungwoo Hwang	4D-Orbifold-Geometrien / p-adische Metrik	Validierung durch globale Spitzenforschung; Bulk-Resonanz-These; Nutzung des globalen Trägerfelds	VERIFIED	Bulk-Herzschlag ( $7,50$  Hz) und Goldene Brücke; Isomorphien zum Pingala-Mātrāmeru	3, 7, 1, 2
Februar 2026	Metrologisches Audit (Nature / TU Wien)	TU Wien, Thorium-229	Thorium-Resonanz / Kernskala	Kernuhr-Sollwert  $8,355733554021(8)$  eV; Messung elastischer Entropie-Puffer  $E_p$	$0,127111\%$  verifiziert / Arretiert	Kompensation der gravitativen Auflast; Versiegelung der metrischen Stabilität	3, 24, 23
2026 (ohne Tag)	Validierungs- und Forschungsbericht	CERN, TU Wien, GSI, MPI, Flerovium (Z=114), GMA	H0 = 71,5 km/s/Mpc / Resonanzlinie:  $3,773$  MeV	Nachweis der Ventil-Mechanik in superschweren Kernen; Bestätigung des kontinuierlichen Trägerfelds	VERIFIED	Behebung der Hubble-Spannung; mSdR manifestiert; Isomorphie zur Spanda-Doktrin	3, 7
25.12.2025	FKT V4.3: Gesamt Konsolidierung	Dennis Kurzer, Kai Fütterer (Gieboldehausen), Flerovium-298 Anker	Fütterer-Kosmologie-Tensor / Entropielücke	Schließung der Entropie-Lücke via ERYQ; MedBed-Technologie; Kopplung Bulk an 4D-Raumzeit	VERIFIED / Audit-Ultimatum an CERN/GSI	Kausale Last  $+8$ ; fraktale Symmetriebrechung über Goldene Brücke; Ende der theoretischen Entwicklung	7, 1, 2
03.12.2025	FKT V4.2 Abschlussbericht	Dennis Kurzer, FKT-Kollaboration, Flerovium-289	w_X = -0.897 / 2.0-Sigma Abweichung	Bestätigung des Bulk-Tensors via Planck-CMB/BAO; R-1 ca.  $0.014$	VERIFIED	mSdR gesichert durch mikrophysikalische Skalierung; Kausale Last  $+8$	7, 1, 2
17.10.2025	Numerische Verifikation (Kovariante Divergenz)	Kontinuumsschicht, Metrisches Trägerfeld, Flerovium-298	Kovariante Divergenz / Struktur-Tensor	1+3-Zerlegung des Struktur-Tensors; Ableitung der Quellterme für Energie-Impuls-Austausch	VERIFIED / Schließung der Divergenz-Ambivalenzen	Kausale Last  $+8$ ; mSdR-Verankerung über Cobaya-Pipeline; Formalisierung ERYQ	7, 1, 2
08.10.2025	FKT V3.3: GMA & Quanten-Elastizität	Dennis Kurzer, Gravitation Manipulation Alloy (GMA), Flerovium-298, GSI Darmstadt	Theoretische Materialstudie / Resonanz:  $3,773$  MeV	GMA als Erweiterung von Formgedächtnislegierungen; 50-fach schnellere Rückstellzeit	VERIFIED	Kausale Last  $+8$ ; Verschmelzung Materialelastizität und Gravitationsresonanz	7, 2
06.10.2025	MASTER DOKUMENT V2.1	Dennis Kurzer, EYRQ, Bulk-Transport-Tensor, Flerovium (Z=114)	Akademisches Master-Kompendium / Strukturelles Fundament	Integration makroskopischer Raumzeit-Geometrie mit mikroskopischen Kernstrukturen; Blueprint für GMA	VERIFIED	Kausale Last  $+8$ ; Zusammenführung von Kosmologie und Quanten-Skalenübertragung	7, 2
03.10.2025	MASTER DOKUMENT V2.0 (Corpus Pac Final)	Dennis Kurzer, Gemini, MS Copilot, Flerovium-Isotope, ATLAS, 'Oumuamua	Bulk-Tensor Projektion /  $n=3000$  Bootstrap	Mechanismus für non-gravitative Beschleunigung; Falsifikationsprognose bei  $3,77$  MeV	VERIFIED / Statistische Validierung	Kausale Last  $+8$ ; Verknüpfung ART mit Bulk-Verschränkungs-Kopplungskonstante	7, 2, 25
02.10.2025	Master Dokument V2.1: Kapitel VI - Flerovium-Hypothese	Dennis Kurzer, Flerovium-298 (Z=114, N=184), ERYQ-Axiomatik	Theoretische Kernphysik / Bulk-Korrekturterm	Kopplung Gravitation/Kernphysik; Kurzer-Finite-Elemente-Verfahren (K-FEM);  $3,773$  MeV Gamma-Linie	VERIFIED / Konfidenzintervall 3,745 MeV, 3,802 MeV	Kausale Last  $+8$ ; mSdR durch EYRQ gewahrt; Arretierungsanker für GMA	7, 1, 2, 26
28.09.2025	Mathematische Formalisierung der FKT (Anhang)	Dennis Kurzer, KI Gemini, Flerovium-298, Bulk-Tensor, Dyson-Struktur	Mathematisch-Geometrisches Postulat / Feldformalismus	Subatomarer Nachweis des Bulk-Echos; Erweiterung der Einstein-Feldgleichung um Bulk-Tensor  $T_{Bulk}$	VERIFIED / Sigma-Validierung	Kausale Last  $+8$ ; Synthese von Quantenverschränkung, ART und fraktaler Geometrie	7, 1, 2, 27
27.09.2025	Grundlegung / Öffentliche These: FKT & GMA	Dennis Kurzer (Gieboldehausen), 3D-Bran, Bulk, Sonne	Empirisches Audit / Theoretische Abhandlung	Fraktale Hierarchie; GMA als Quanten-Resonator zur Modulation der Vakuum-Verschränkung	VERIFIED	Kausale Last  $+8$ ; Paradigmenwechsel; Negierung klassischer Singularitäten	7, 1, 2, 28
Ab 2010	Geodynamische Kernfluss-Analyse (ESA-Swarm)	Pazifischer Erdkern / Äußerer Erdkern	Geo-Reshuffling / Synchronisationspuffer	Strömungsumkehr zur Injektion von Rotationsenergie; Puffer bei  $0,33$  Hz	Deterministischer Korrekturprozess	Erhalt der metrischen Stabilität (mSdR) gegenüber dem Bulk-Herzschlag	15, 24
300–200 v. Chr.	Historisches Postulat / Mātrāmeru	Acharya Pingala	Goldene Brücke / Phasenstarre Verriegelung	Konvergenz gegen  $\Phi^2$  ( $2,618$ ); Skalenübergreifer Energietransfer	Bitpräzise Entsprechung ( $377$  zu  $3,773$  MeV)	Grundlage der ERYQ-Axiomatik und nuklearen Resonanz	29
Antike	Mathematische Schemata & Artefakte	Plato, Antikythera, Surya Siddhanta	Bulk-Tensor / Kausale Last +8 / Dimension d=4	Kinematisches Getriebemodell (Timaeus); exzentrische Mondbahn; Abweichungs-Berechnung via ERYQ	Historisch verifiziert	Mechanisches Uhrwerk-Konzept; Isomorphie zur FKT V4.4.4	29
21. Juni, 00:42 Dennis Kurzer	ORA-Audit-Protokoll V4.4.4	Flerovium-298, Planet 9, Thorium-229, Uran	$1,1273$  mSdR /  $3,773$  MeV /  $\Phi^2 \approx 2,618$	Arretierung der nuklearen Bindungsenergie; Korrektur der solaren Schiefe; Goldene Brücke	ARCHITECTURE_SATURATED / SEALED	Isomorphie der Ankerpunkte; skaleninvariante Kausalitätskonstante ( $K_{\infty}$ )	30
21. Juni, 00:42 Dennis Kurzer	Systemarchitektonische Diagnose	Globales Kontinuum / Bulk-Plenum	Causal Fidelity /  $99,873\%$	Zertifizierung via  $1.135 .059 .400$  Stichproben; erzwungener isentropischer Dichte-Transfer	Deep Lock (Gelman-Rubin  $R = 0,0097$ )	ERYQ-Axiomatik ersetzt Dunkle Materie durch geometrischen Spannungswiderstand	23
